D,Pval.normal,Pval.beta,Clade,Gene,Selection
1.2237728364103,0.221037934152306,0.239137235141293,tumefaciens,OG0001247,Neutral
1.12639442880346,0.259998603904444,0.276292595868535,tumefaciens,OG0001262,Neutral
0.258274486487517,0.796195075277024,0.769076532344637,tumefaciens,OG0001297,Neutral
1.00678559871885,0.31403781668566,0.327047870401775,tumefaciens,OG0001325,Neutral
1.43032980542994,0.152622384232894,0.172180035280903,tumefaciens,OG0001350,Neutral
0.850376636643241,0.395115721176542,0.402069518172457,tumefaciens,OG0001365,Neutral
0.314357960721072,0.75324918135846,0.729455838032603,tumefaciens,OG0001377,Neutral
0.616567585435432,0.537519980370891,0.532238713535118,tumefaciens,OG0001380,Neutral
1.57447277703319,0.115378190303532,0.13435914856907,tumefaciens,OG0001388,Neutral
-0.012754866245698,0.989823365081911,0.969871910559633,tumefaciens,OG0001389,Neutral
-0.123544008004416,0.901676327838973,0.945262665098476,tumefaciens,OG0001390,Neutral
1.12662997031821,0.259898962183542,0.27619825076186,tumefaciens,OG0001391,Neutral
1.53061811497693,0.125863801994232,0.145136194949658,tumefaciens,OG0001392,Neutral
0.62467878553431,0.532181899357558,0.527374200018855,tumefaciens,OG0001393,Neutral
0.947278664937372,0.343496799487274,0.354432381914329,tumefaciens,OG0001394,Neutral
0.165464064708542,0.868578732137834,0.836302149520092,tumefaciens,OG0001395,Neutral
1.0003760721474,0.31712854518494,0.329929107283948,tumefaciens,OG0001396,Neutral
0.314033340964129,0.753495716293719,0.729682793111808,tumefaciens,OG0001397,Neutral
0.587701134588688,0.556732913882145,0.54974569936991,tumefaciens,OG0001398,Neutral
-0.425791341338058,0.670259896829255,0.714274533650338,tumefaciens,OG0001399,Neutral
0.182677697783277,0.85505091586933,0.823691042747696,tumefaciens,OG0001400,Neutral
0.645420321937535,0.518654837480125,0.515045460922642,tumefaciens,OG0001401,Neutral
2.92907012506313,0.00339977712038866,0.00490403859369204,tumefaciens,OG0001402,Positive
0.992717484237182,0.320847651906266,0.333393455834303,tumefaciens,OG0001403,Neutral
1.43463082006718,0.15139232725473,0.170949668538254,tumefaciens,OG0001404,Neutral
1.20946228449233,0.226485292377159,0.244366933557818,tumefaciens,OG0001406,Neutral
1.52037805858968,0.128415985744962,0.147742732000932,tumefaciens,OG0001407,Neutral
-0.00627815439840756,0.994990790441714,0.964941339368421,tumefaciens,OG0001408,Neutral
0.632018468398121,0.527374809289542,0.522993281804446,tumefaciens,OG0001409,Neutral
0.953211738499992,0.340482800032134,0.351638157420878,tumefaciens,OG0001410,Neutral
0.811371016315015,0.417152638467729,0.422304207747891,tumefaciens,OG0001411,Neutral
1.30281905889413,0.192636542426282,0.211654127922024,tumefaciens,OG0001412,Neutral
0.491683418656471,0.622943161878703,0.610105128404473,tumefaciens,OG0001413,Neutral
0.082095119229639,0.934571074315256,0.898175042723598,tumefaciens,OG0001414,Neutral
0.900086202120323,0.368074378247579,0.377161816238953,tumefaciens,OG0001415,Neutral
0.775803734210962,0.437864878779077,0.441280424644317,tumefaciens,OG0001416,Neutral
-0.869901995557649,0.384353964826813,0.407110479131843,tumefaciens,OG0001417,Neutral
1.92111527108453,0.0547171767832169,0.0690553262933118,tumefaciens,OG0001418,Neutral
0.506707750779211,0.612359891394007,0.600450424471893,tumefaciens,OG0001419,Neutral
1.21254540989555,0.225303671055319,0.243233569552708,tumefaciens,OG0001420,Neutral
1.60844316140696,0.107738155166303,0.126432342926057,tumefaciens,OG0001421,Neutral
1.75486350552633,0.0792826578296799,0.0962424792789687,tumefaciens,OG0001422,Neutral
0.0285725057416665,0.977205540368337,0.938490518728252,tumefaciens,OG0001423,Neutral
-0.117854860428079,0.906182660059499,0.94963785449685,tumefaciens,OG0001424,Neutral
0.364402109695764,0.715557760310765,0.694817503544608,tumefaciens,OG0001425,Neutral
0.838131939699782,0.401956606401219,0.408356456247697,tumefaciens,OG0001426,Neutral
0.278500191937586,0.780628417720352,0.754694576664872,tumefaciens,OG0001427,Neutral
-0.471643214360155,0.637181475752703,0.680105341246649,tumefaciens,OG0001428,Neutral
-2.19142056032393,0.0284213726011383,0.00849824531207675,tumefaciens,OG0001429,Negative
0.232373765052611,0.816247723731467,0.787640252493422,tumefaciens,OG0001430,Neutral
-0.561571310801795,0.574408131684277,0.614346675640638,tumefaciens,OG0001431,Neutral
0.29805543168826,0.765660856739672,0.740888541639969,tumefaciens,OG0001432,Neutral
0.757983925001728,0.448460606135629,0.450974835210013,tumefaciens,OG0001433,Neutral
1.38948040098149,0.164686716610265,0.184189566679862,tumefaciens,OG0001434,Neutral
0.634782560473736,0.525570238870103,0.521348610735225,tumefaciens,OG0001435,Neutral
0.20350680380675,0.838738928282683,0.808514518351661,tumefaciens,OG0001436,Neutral
0.936064146937687,0.349240161321828,0.359752597313678,tumefaciens,OG0001437,Neutral
0.820607338887027,0.411869966062841,0.417458122135589,tumefaciens,OG0001438,Neutral
0.31191337783974,0.755106355319975,0.731165646953863,tumefaciens,OG0001439,Neutral
0.965115564125391,0.334486932126696,0.346074647302163,tumefaciens,OG0001440,Neutral
1.11622623500946,0.264325307330755,0.280386286404709,tumefaciens,OG0001441,Neutral
1.19377027925716,0.232567840570815,0.250192184086229,tumefaciens,OG0001442,Neutral
0.747687661136806,0.454648575400813,0.456632819020167,tumefaciens,OG0001443,Neutral
1.33463928127007,0.181994435078621,0.201250993910651,tumefaciens,OG0001444,Neutral
0.652733423426055,0.513928150980133,0.510736711125236,tumefaciens,OG0001445,Neutral
0.767793312070297,0.44260998846345,0.445622904893291,tumefaciens,OG0001446,Neutral
1.00560984928284,0.314603284149857,0.327575163195089,tumefaciens,OG0001447,Neutral
0.601425876208259,0.547556368131463,0.541384108848798,tumefaciens,OG0001448,Neutral
1.08446023923536,0.278160787087402,0.293438716522423,tumefaciens,OG0001449,Neutral
0.821834455384477,0.411171120951838,0.416816828266914,tumefaciens,OG0001450,Neutral
